Prediction,Signal,Target_PnL,Strategy_PnL
-0.04805835,0,-0.24675255,0.0
-0.038142126,0,-0.32348818,0.0
-0.034092583,0,-0.36641747,0.0
-0.043362644,0,-0.32873052,0.0
-0.05952431,0,-0.37421533,0.0
-0.051134236,0,-0.30929345,0.0
-0.044069137,0,-0.27235347,0.0
-0.04399558,0,-0.29053846,0.0
-0.06563212,0,-0.21465397,0.0
-0.08643911,0,-0.19836941,0.0
-0.080950186,0,-0.19257274,0.0
-0.06763111,0,0.0,0.0
-0.048400644,0,0.0,0.0
-0.0333771,0,0.0,0.0
-0.025310362,0,0.0,0.0
-0.018355707,0,0.050506778,0.0
-0.01420265,0,0.0,0.0
0.01109756,0,0.0016180902,0.0
0.03137132,0,0.0,0.0
0.022932973,0,0.0,0.0
-0.00722748,0,0.0,0.0
-0.030287046,0,0.0,0.0
-0.020220973,0,0.0,0.0
-0.0018557407,0,0.0,0.0
0.01069258,0,0.0,0.0
0.014637549,0,0.0,0.0
0.014136526,0,0.0,0.0
0.016285263,0,0.0,0.0
0.009653196,0,0.0,0.0
0.020953804,0,0.0,0.0
0.035127632,0,0.0,0.0
0.028043313,0,0.0,0.0
0.013186597,0,0.0,0.0
-0.0064224107,0,0.0,0.0
0.0064745457,0,0.0,0.0
0.022700857,0,0.0,0.0
0.041115243,0,0.0,0.0
0.054624137,0,0.0,0.0
0.05133067,0,0.0,0.0
0.0537946,0,0.0,0.0
0.053735662,0,0.0,0.0
0.08852938,0,0.0,0.0
0.09676115,0,0.0,0.0
0.0941727,0,0.0,0.0
0.068540975,0,0.0,0.0
0.062421054,0,0.0,0.0
0.0810274,0,0.0,0.0
0.08944262,0,0.043635167,0.0
0.11465983,0,0.0359378,0.0
0.10943884,0,0.012313833,0.0
0.099964604,0,0.07687676,0.0
0.07687685,0,0.06559766,0.0
0.07502882,0,0.0,0.0
0.09714906,0,0.0,0.0
0.09673581,0,0.013606786,0.0
0.09788818,0,0.015214813,0.0
0.08493185,0,0.0,0.0
0.093203366,0,0.0,0.0
0.10002748,0,0.0,0.0
0.08843807,0,0.0,0.0
0.09423445,0,0.0,0.0
0.09427085,0,0.0,0.0
0.099020585,0,0.0,0.0
0.08920569,0,-0.12049875,0.0
0.09435725,0,-0.17453465,0.0
0.11920372,0,-0.18853827,0.0
0.1188291,0,-0.19905347,0.0
0.11666973,0,-0.23185769,0.0
0.10753986,0,-0.3151406,0.0
0.11312209,0,-0.2889951,0.0
0.10564137,0,-0.35264972,0.0
0.076967746,0,0.0,0.0
0.0744911,0,0.0,0.0
0.072003566,0,0.0,0.0
0.07662369,0,0.0,0.0
0.062283803,0,0.0,0.0
0.058817536,0,0.0,0.0
0.085331865,0,0.0,0.0
0.0829436,0,0.0,0.0
0.08337958,0,0.0,0.0
0.067709364,0,0.0,0.0
0.0767071,0,-0.3988175,0.0
0.07439272,0,-0.42139265,0.0
0.055424977,0,-0.44063583,0.0
0.06732289,0,-0.44374555,0.0
0.07866718,0,-0.49139687,0.0
0.09433799,0,-0.50447345,0.0
0.09075169,0,-0.53416723,0.0
0.09791523,0,-0.5570396,0.0
0.14555614,0,-0.52996033,0.0
0.14026439,0,-0.58971417,0.0
0.1358911,0,-0.3551251,0.0
0.100917645,0,-0.43446252,0.0
0.10499631,0,-0.44092074,0.0
0.09417999,0,-0.39015064,0.0
0.06745976,0,-0.42438698,0.0
0.07021881,0,-0.44861197,0.0
0.073551975,0,-0.44879863,0.0
0.07866733,0,-0.38636586,0.0
0.06581278,0,-0.4415431,0.0
0.05556507,0,-0.48463982,0.0
0.10036131,0,-0.44592375,0.0
0.10397788,0,-0.44092432,0.0
0.099088304,0,-0.44791523,0.0
0.06545712,0,-0.42365822,0.0
0.07119787,0,-0.51962906,0.0
0.070731014,0,-0.5431507,0.0
0.037703432,0,-0.54935753,0.0
0.029709406,0,-0.42639396,0.0
0.036645148,0,-0.26428092,0.0
0.04178345,0,0.4751356,0.0
0.020687692,0,0.36666244,0.0
0.004681987,0,0.37349966,0.0
0.050496582,0,0.4012623,0.0
0.06251311,0,0.38480294,0.0
0.052477628,0,0.42748195,0.0
0.013969398,0,0.44800127,0.0
0.0072424565,0,0.36080098,0.0
0.012221996,0,0.36395735,0.0
-0.012887079,0,0.3584759,0.0
-0.0072917724,0,0.37975568,0.0
0.004997576,0,0.29901952,0.0
0.0099728,0,0.29171032,0.0
-0.023069428,0,0.33616695,0.0
-0.04844652,0,0.47520536,0.0
-0.019138617,0,0.48634923,0.0
-0.0044760243,0,0.5145352,0.0
-0.014314401,0,0.52754563,0.0
-0.042702544,0,0.4425564,0.0
-0.05333381,0,0.51190704,0.0
-0.054120686,0,0.0,0.0
-0.07434722,0,-0.009614363,0.0
-0.05520442,0,-0.08367341,0.0
-0.044306185,0,-0.057104032,0.0
-0.037226465,0,-0.10049584,0.0
-0.07820878,0,-0.099703275,0.0
-0.09569277,-1,-0.06687124,0.005631166399506817
-0.07678624,0,-0.059091836,0.0
-0.053779192,0,-0.06960123,0.0
-0.053466752,0,-0.07616257,0.0
-0.06931994,0,-0.0639376,0.0
-0.08143378,0,-0.060306277,0.0
-0.086708404,0,-0.07917178,0.0
-0.10184672,-1,-0.122186214,0.0
-0.08114261,0,0.0,0.0
-0.071516916,0,0.0,0.0
-0.0672216,0,0.0,0.0
-0.103184015,-1,0.0,0.0
-0.11495895,-1,0.0,0.0
-0.10192126,-1,0.0,0.0
-0.081137575,0,0.0,0.0
-0.07963989,0,0.0,0.0
-0.08655931,0,0.0,0.0
-0.09407749,-1,0.0,0.0
-0.09886771,-1,0.0,0.0
-0.1115981,-1,0.0,0.0
-0.07136878,0,0.049229406,0.0
-0.03720496,0,0.0,0.0
-0.02374278,0,0.103925385,0.0
-0.054375336,0,0.06109165,0.0
-0.07041362,0,0.07537833,0.0
-0.06581279,0,0.1332112,0.0
-0.064722374,0,0.16272712,0.0
-0.0771951,0,0.13135773,0.0
-0.078168616,0,0.12888615,0.0
-0.08390803,0,0.17539074,0.0
-0.08399407,0,0.12549451,0.0
-0.09164082,-1,0.07354765,0.0
-0.027406083,0,0.08505057,0.0
0.019617172,0,0.20983097,0.0
0.03582904,0,0.2607868,0.0
-0.017854651,0,0.27995083,0.0
-0.027759427,0,0.17150514,0.0
-0.03050885,0,0.09644887,0.0
-0.04092134,0,0.10012687,0.0
-0.073942006,0,0.17188764,0.0
-0.080545224,0,0.14059348,0.0
-0.072088175,0,0.1139095,0.0
-0.06123019,0,0.06386651,0.0
-0.061153162,0,0.019715695,0.0
0.0044590905,0,0.0,0.0
0.041746225,0,0.0,0.0
0.06728583,0,-0.018106129,0.0
0.030515501,0,-0.052937366,0.0
0.029931432,0,-0.11252291,0.0
0.042036574,0,-0.13473117,0.0
0.0248038,0,-0.15368739,0.0
0.009852196,0,-0.18561456,0.0
-0.016836971,0,-0.18138014,0.0
-0.00059250963,0,-0.22253789,0.0
-0.02727862,0,-0.24167065,0.0
-0.053179227,0,-0.24816725,0.0
-0.032721367,0,-0.2743752,0.0
0.00724167,0,-0.31604606,0.0
0.03607091,0,-0.3599443,0.0
0.0196853,0,-0.43959475,0.0
0.02364469,0,-0.6605619,0.0
0.032601554,0,-0.68650115,0.0
0.0033437696,0,-0.73649436,0.0
